,Model,balancing_technique,f1_mean,f1_sd,qwk_mean,qwk_sd
0,Random Forest balanced,no,0.3369931135056284,0.002923090061008086,0.36903713537544924,0.02284426452438555
1,AdaBoost balanced,no,0.2840610899624597,0.01281388460290294,0.30092257905263065,0.028086199364567587
2,Gradient Boosting balanced,no,0.3451938623599883,0.010997164531138009,0.3798321381368922,0.020197511093885265
3,Bagging balanced,no,0.3185710050622868,0.004462093017473356,0.3475684552735757,0.012171204187890085
4,XGBoost balanced,no,0.3385939644259169,0.004028961901784177,0.38840446403270656,0.01644716374751036
5,LightGBM balanced,no,0.34238247826097135,0.006731368116443866,0.3663699792344483,0.027749991993037456
6,CatBoost balanced,no,0.3499068957830792,0.00980563358940155,0.38292580513881036,0.025633751130018978
7,Random Forest,None,0.33508980181145553,0.007897873693770251,0.3632024401970839,0.02285905702324824
8,AdaBoost,None,0.2840610899624597,0.01281388460290294,0.30092257905263065,0.028086199364567587
9,Gradient Boosting,None,0.3451938623599883,0.010997164531138009,0.3798321381368922,0.020197511093885265
10,Bagging,None,0.3185710050622868,0.004462093017473356,0.3475684552735757,0.012171204187890085
11,XGBoost,None,0.3385939644259169,0.004028961901784177,0.38840446403270656,0.01644716374751036
12,LightGBM,None,0.32971153061845315,0.010128733696016369,0.37549000357545886,0.019070109964116424
13,CatBoost,None,0.32426506562169577,0.003323758180033015,0.3916668743065347,0.022201574241243454
14,Random Forest,SMOTE (oversampling),0.35666416583105087,0.006793631249262233,0.3840036335424677,0.02235968991714094
15,AdaBoost,SMOTE (oversampling),0.2878036808455285,0.0037665071910763224,0.2622038236831126,0.02111436985019321
16,Gradient Boosting,SMOTE (oversampling),0.3457391716976808,0.009087443898400542,0.3738577845565261,0.021606345231382537
17,Bagging,SMOTE (oversampling),0.3282578093775124,0.010267099920320601,0.3343114637676585,0.017133074504523612
18,XGBoost,SMOTE (oversampling),0.3459977325194621,0.007807771480199876,0.39558283604271216,0.016588598225225095
19,LightGBM,SMOTE (oversampling),0.3372491401647748,0.0158449536425866,0.36951652529423407,0.031052376921708952
20,CatBoost,SMOTE (oversampling),0.3435566793652144,0.009277398731329616,0.39394933187317077,0.022802077905141112
21,Random Forest,RandomOverSampler (oversampling),0.35539367362716584,0.007467708313129784,0.3890978848179606,0.011038819376032781
22,AdaBoost,RandomOverSampler (oversampling),0.277451325958414,0.006124091573327197,0.25345459468363285,0.01206631785156849
23,Gradient Boosting,RandomOverSampler (oversampling),0.3297801016857811,0.004389109826474857,0.3443542264145685,0.01630883118907311
24,Bagging,RandomOverSampler (oversampling),0.3245633516043777,0.005269101358144202,0.3182615227364577,0.02148507314918944
25,XGBoost,RandomOverSampler (oversampling),0.3594783910301611,0.0053212271036576515,0.3850046500448969,0.02237408371943334
26,LightGBM,RandomOverSampler (oversampling),0.3424711794842713,0.008391384041240754,0.3603824700654485,0.027195394273425377
27,CatBoost,RandomOverSampler (oversampling),0.34590728362837525,0.012159515854611655,0.37063405586354875,0.02383561761262215
28,Random Forest,ADASYN (oversampling),0.35290771764457524,0.011894050889851362,0.3682562823376051,0.017335405810900505
29,AdaBoost,ADASYN (oversampling),0.2743657346735833,0.004555390572671906,0.26789184382810866,0.026677677816192458
30,Gradient Boosting,ADASYN (oversampling),0.32993545064952734,0.009655825137745454,0.37556636587142755,0.015118056992147046
31,Bagging,ADASYN (oversampling),0.319278779507317,0.011206017174631424,0.32752321052240607,0.015275060394760563
32,XGBoost,ADASYN (oversampling),0.33763700619134995,0.009809594124856276,0.38881474640224295,0.026506050999165597
33,LightGBM,ADASYN (oversampling),0.3337907285527782,0.010004029864109854,0.37470531809829327,0.014853824948926979
34,CatBoost,ADASYN (oversampling),0.3366195227671668,0.005847088184808408,0.38829083700093214,0.01802811763826326
35,Random Forest,BorderlineSMOTE (oversampling),0.34156878517016476,0.01037378736245479,0.3740316079128051,0.025264207368891414
36,AdaBoost,BorderlineSMOTE (oversampling),0.2718720968810273,0.006449051237826345,0.2330924197901017,0.023806757032606922
37,Gradient Boosting,BorderlineSMOTE (oversampling),0.33970223898706653,0.0027308392135288974,0.37018143724634645,0.024014503055578017
38,Bagging,BorderlineSMOTE (oversampling),0.3312503242249888,0.01302888872445648,0.3487455478405963,0.012500038157662065
39,XGBoost,BorderlineSMOTE (oversampling),0.3494525413738849,0.009965217749654864,0.39346971994707913,0.019008782342317745
40,LightGBM,BorderlineSMOTE (oversampling),0.34513850517051126,0.003999732746555957,0.3815873368893533,0.015602197912074315
41,CatBoost,BorderlineSMOTE (oversampling),0.34423035406615954,0.004369824208974023,0.3945117559798814,0.018749714570692175
42,Random Forest,RandomUnderSampler (undersampling),0.2913163699779787,0.010914185832579078,0.25337909246241486,0.02366999908844755
43,AdaBoost,RandomUnderSampler (undersampling),0.27493010827044234,0.0071883104105814645,0.24931555348380793,0.024123204812008716
44,Gradient Boosting,RandomUnderSampler (undersampling),0.29853820002262427,0.009869218466439194,0.28475951260455795,0.03091999009019654
45,Bagging,RandomUnderSampler (undersampling),0.26226095103173974,0.01900150965582044,0.21387251366568272,0.030010143660364506
46,XGBoost,RandomUnderSampler (undersampling),0.2758464882109394,0.0108824756535313,0.22974968753058297,0.01857881158493707
